District Name,Town Name,Population,Median Household Income,Equalized Net Grand List Per Capita,2018-19,2019-20,2020-21,2021-22,2022-23,2018-2023,2020-2023,% change 18-23,% change 20-23
Andover School District,Andover,3149,"$99,449.00",125199.13,8,9,8,8,8,increased,increased,0.00%,0.00%
Ansonia School District,Ansonia,18902,"$53,709.00",84523.23,59,64,54,46,67.5,increased,increased,12.59%,20.00%
Ashford School District,Ashford,4185,"$84,909.00",119993.87,23.5,22.5,20.5,20,22,decreased,increased,-6.82%,6.82%
Avon School District,Avon,18918,"$123,077.00",197528.55,102,94.2,95.2,106.7,110.1,increased,increased,7.36%,13.53%
Barkhamsted School District,Barkhamsted,3650,"$103,500.00",154602.58,21.5,21.1,22,28,23,increased,increased,6.52%,4.35%
Berlin School District,Berlin,20154,"$102,075.00",172988.54,107.7,106.5,117.4,125.5,121,increased,increased,10.99%,2.98%
Bethany School District,Bethany,5294,"$151,034.00",164097.74,11.2,14.1,14.2,15.4,18.7,increased,increased,40.11%,24.06%
Bethel School District,Bethel,20331,"$94,973.00",159729.11,72,77,72,82,88,increased,increased,18.18%,18.18%
Bloomfield School District,Bloomfield,21460,"$79,134.00",158607.93,97.8,100.8,108.3,115.1,127.8,increased,increased,23.47%,15.26%
Bolton School District,Bolton,4868,"$112,622.00",139733.13,25.5,25.5,24,25,26.5,increased,increased,3.77%,9.43%
Bozrah School District,Bozrah,2422,"$91,838.00",161813.6,12,24,26,28,13.5,increased,decreased,11.11%,-92.59%
Branford School District,Branford,28220,"$80,471.00",186619.57,135.3,148.5,142.5,140,173.5,increased,increased,22.02%,17.87%
Bridgeport School District,Bridgeport,148698,"$47,484.00",76359.19,363,334.6,321,317,339.5,decreased,increased,-6.92%,5.45%
Bristol School District,Bristol,60786,"$68,485.00",102785.56,202.6,212.1,247.5,223.4,212.3,increased,decreased,4.57%,-16.58%
Brookfield School District,Brookfield,17517,"$117,292.00",204661.16,78.3,82.5,92,94,91,increased,decreased,13.96%,-1.10%
Brooklyn School District,Brooklyn,8451,"$75,993.00",113987.04,43,46,42.5,48,54,increased,increased,20.37%,21.30%
Canaan School District,Canaan,1081,"$68,750.00",237138.68,4,4.3,4.3,4.7,4.3,increased,increased,6.98%,0.00%
Canterbury School District,Canterbury,5041,"$86,178.00",121942.65,27.1,26,26,23,27,decreased,increased,-0.37%,3.70%
Canton School District,Canton,10125,"$89,863.00",163948.59,76.9,78.2,67.3,74.3,81,increased,increased,5.06%,16.91%
Chaplin School District,Chaplin,2141,"$83,393.00",150237.65,15,31,15.5,13,12,decreased,decreased,-25.00%,-29.17%
Cheshire School District,Cheshire,28728,"$122,477.00",156610.64,183.4,182.5,178.7,186.7,178.3,decreased,decreased,-2.86%,-0.22%
Chester School District,Chester,3744,"$87,717.00",182024.51,9.7,10.6,10.6,10.6,10.6,increased,increased,8.49%,0.00%
Clinton School District,Clinton,13174,"$90,332.00",178226.63,65.1,66.9,69.1,70.9,71.8,increased,increased,9.33%,3.76%
Colchester School District,Colchester,15548,"$107,914.00",125807.94,96.4,92.9,92.8,99,102,increased,increased,5.49%,9.02%
Colebrook School District,Colebrook,1360,"$96,250.00",213088.31,7,6.2,6,7,6.5,decreased,increased,-7.69%,7.69%
Columbia School District,Columbia,5263,"$104,911.00",154174.58,17,18,18,30,25,increased,increased,32.00%,28.00%
Cornwall School District,Cornwall,1566,"$90,197.00",362911.77,4.7,4.9,4.1,4.9,3.2,decreased,decreased,-46.88%,-28.13%
Coventry School District,Coventry,12238,"$93,619.00",119417.43,65.2,62.3,57.6,53.3,52.6,decreased,decreased,-23.95%,-9.51%
Cromwell School District,Cromwell,14203,"$89,562.00",161797.91,52.5,56.5,78,70,80.5,increased,increased,34.78%,3.11%
Danbury School District,Danbury,86570,"$73,204.00",143250.34,339,340.8,321.3,284.5,263.8,decreased,decreased,-28.51%,-21.80%
Darien School District,Darien,21527,"$243,750.00",578668.28,142.4,147.1,146.3,149.8,149.4,increased,increased,4.69%,2.07%
Deep River School District,Deep River,4412,"$80,495.00",169171.97,11.7,10.8,11.7,11.7,11.7,increased,increased,0.00%,0.00%
Derby School District,Derby,12326,"$58,534.00",100402.31,77.3,144.3,147.3,72.7,79.8,increased,decreased,3.13%,-84.59%
East Granby School District,East Granby,5218,"$107,566.00",179421.12,42.9,42.4,39.6,44.3,42.4,decreased,increased,-1.18%,6.60%
East Haddam School District,East Haddam,8872,"$95,685.00",154203.74,31,29,43,46,47,increased,increased,34.04%,8.51%
East Hampton School District,East Hampton,12709,"$95,663.00",136201.01,66.4,71,75,86.8,97.8,increased,increased,32.11%,23.31%
East Hartford School District,East Hartford,51016,"$59,954.00",84287.64,229.2,227.2,223.2,213.2,194.2,decreased,decreased,-18.02%,-14.93%
East Haven School District,East Haven,27874,"$67,773.00",107873.42,134,138.6,147.9,144.9,134.3,increased,decreased,0.22%,-10.13%
East Lyme School District,East Lyme,18645,"$96,023.00",186471.11,125.5,124.7,118.2,119.6,112.3,decreased,decreased,-11.75%,-5.25%
East Windsor School District,East Windsor,11167,"$78,667.00",137667.2,89.5,86.5,86.5,94.5,102.5,increased,increased,12.68%,15.61%
Eastford School District,Eastford,1650,"$96,625.00",158235.41,12.8,12.8,11.8,11.9,12.6,decreased,increased,-1.59%,6.35%
Easton School District,Easton,7603,"$166,875.00",240592.44,34,34.4,37,39,36.8,increased,decreased,7.61%,-0.54%
Ellington School District,Ellington,16428,"$89,645.00",129703.16,109.8,108.2,107.9,113,117.5,increased,increased,6.55%,8.17%
Enfield School District,Enfield,42128,"$83,232.00",110869.91,198.5,208.5,205.5,225.5,198.6,increased,decreased,0.05%,-3.47%
Essex School District,Essex,6713,"$102,243.00",248535.4,22.4,23.4,22.5,22.5,22.5,increased,increased,0.44%,0.00%
Fairfield School District,Fairfield,61472,"$140,308.00",268228.22,286.9,289.3,286.9,284.2,275.9,decreased,decreased,-3.99%,-3.99%
Farmington School District,Farmington,26673,"$97,262.00",209109.77,155.9,152.9,154.8,154.2,153.3,decreased,decreased,-1.70%,-0.98%
Franklin School District,Franklin,1863,"$91,875.00",188730.5,9.3,11,15.5,9.5,15.4,increased,decreased,39.61%,-0.65%
Glastonbury School District,Glastonbury,35108,"$120,605.00",185323.77,172,188.4,187.5,182.7,220.3,increased,increased,21.92%,14.89%
Granby School District,Granby,10891,"$111,347.00",142868.3,65,73.8,76.5,89.6,83.6,increased,increased,22.25%,8.49%
Greenwich School District,Greenwich,63502,"$167,537.00",770198.41,193.7,191.9,193.5,203.5,194.7,increased,increased,0.51%,0.62%
Griswold School District,Griswold,11411,"$62,361.00",99143.66,79,76.5,73.6,76.8,79.2,increased,increased,0.25%,7.07%
Groton School District,Groton,38445,"$68,849.00",153672.02,248.2,254.3,242.9,267.5,232.6,decreased,decreased,-6.71%,-4.43%
Guilford School District,Guilford,22045,"$108,243.00",220928.57,101,98.2,97.3,101.8,93.8,decreased,decreased,-7.68%,-3.73%
Hamden School District,Hamden,61065,"$78,602.00",97372.1,186.3,184.1,170.6,203.3,207.8,increased,increased,10.35%,17.90%
Hampton School District,Hampton,1729,"$76,364.00",141034.68,8,9,8.4,8,7,decreased,decreased,-14.29%,-20.00%
Hartford School District,Hartford,121026,"$36,154.00",61828.93,519.2,503.2,468.7,435.1,401.7,decreased,decreased,-29.25%,-16.68%
Hartland School District,Hartland,1900,"$97,850.00",153029.99,6.8,5.5,5.8,8.6,7.9,increased,increased,13.92%,26.58%
Hebron School District,Hebron,9102,"$126,045.00",134516.12,30.2,32.2,34.5,38.2,35.2,increased,increased,14.20%,1.99%
Kent School District,Kent,3014,"$77,344.00",298419.3,9.3,11.7,10.2,11,12,increased,increased,22.50%,15.00%
Killingly School District,Killingly,17738,"$66,071.00",113299.02,119,130.1,128.6,115.6,119,increased,decreased,0.00%,-8.07%
Lebanon School District,Lebanon,7142,"$97,422.00",145118.4,41.5,40.5,41.5,43,42,increased,increased,1.19%,1.19%
Ledyard School District,Ledyard,15420,"$92,439.00",110851.88,85.3,82.6,82.6,73.3,73,decreased,decreased,-16.85%,-13.15%
Lisbon School District,Lisbon,4191,"$86,641.00",154449.4,4.9,7.3,7.3,8.3,8.3,increased,increased,40.96%,12.05%
Litchfield School District,Litchfield,8165,"$87,241.00",191393.28,24,22,25,25,26.2,increased,increased,8.40%,4.58%
Madison School District,Madison,17658,"$119,777.00",248542.38,146.8,140.9,135,136.7,121.7,decreased,decreased,-20.62%,-10.93%
Manchester School District,Manchester,59693,"$74,270.00",107800.22,223.4,227.8,228.7,215.3,212,decreased,decreased,-5.38%,-7.88%
Mansfield School District,Mansfield,25883,"$50,492.00",62560.64,68.1,67,80.5,78.9,70.4,increased,decreased,3.27%,-14.35%
Marlborough School District,Marlborough,6127,"$113,547.00",142122.65,17.6,19.8,21.8,19.8,20.3,increased,decreased,13.30%,-7.39%
Meriden School District,Meriden,60794,"$58,472.00",82538.46,204,206,185,199,207,increased,increased,1.45%,10.63%
